$keys right_InnerSquint left_InnerSquint right_OuterSquint left_OuterSquint right_BrowInV left_BrowInV right_Frown left_Frown right_NoseV left_NoseV right_NostrilFlare left_NostrilFlare right_CheekV left_CheekV JawD JawV right_LipsV left_LipsV right_LipUpV left_LipUpV right_LipLoV left_LipLoV right_Platysmus left_Platysmus right_FoldLipUp left_FoldLipUp right_FoldLipLo left_FoldLipLo right_LipCnrTwst left_LipCnrTwst right_ScalpD left_ScalpD right_CloseLid left_CloseLid multi_CloseLid right_BrowOutV left_BrowOutV right_CheekH left_CheekH JawH right_Smile left_Smile multi_Smile right_PuckerLipUp left_PuckerLipUp right_PuckerLipLo left_PuckerLipLo right_Dimple left_Dimple right_PuffLipUp left_PuffLipUp right_PuffLipLo left_PuffLipLo eyes_updown right_LipStick left_LipStick TongueD TongueH 
$hasweighting
$normalized
"painbig" 	"_" 	0.93000	1.000	0.93000	1.000	0.92250	1.000	0.92250	1.000	0.63000	1.000	0.57330	1.000	1.00000	1.000	1.00000	1.000	0.79250	1.000	0.79250	1.000	0.69500	1.000	0.69500	1.000	0.99750	1.000	0.99750	1.000	0.41750	1.000	0.65794	1.000	0.35000	1.000	0.35000	1.000	0.92000	1.000	0.84594	1.000	0.86750	1.000	0.69687	1.000	0.69250	1.000	0.69250	1.000	0.11750	1.000	0.11750	1.000	0.33500	1.000	0.33500	1.000	1.00000	1.000	1.00000	1.000	0.12250	1.000	0.12250	1.000	0.27750	1.000	0.27750	1.000	0.50000	1.000	0.12000	1.000	0.10380	1.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	"painbig"
"mad" 	"_" 	0.60250	1.000	0.59235	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	1.00000	1.000	0.98121	1.000	0.97535	1.000	1.00000	1.000	1.00000	1.000	0.99907	1.000	1.00000	1.000	0.99783	1.000	0.76707	1.000	0.42434	1.000	0.62559	1.000	0.59150	1.000	0.90033	1.000	1.00000	1.000	0.68507	1.000	0.77885	1.000	0.65496	1.000	0.67756	1.000	0.61183	1.000	0.62129	1.000	0.38509	1.000	0.37021	1.000	0.73541	1.000	0.95074	1.000	1.00000	1.000	0.99663	1.000	0.50000	1.000	0.50000	1.000	0.60500	1.000	0.46539	1.000	0.44642	1.000	0.62076	1.000	0.64004	1.000	0.50222	1.000	0.23250	1.000	0.22907	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00203	1.000	0.00200	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	"mad"
"idleface" 	"_" 	0.23586	1.000	0.23512	1.000	0.09209	1.000	0.09194	1.000	0.37507	1.000	0.37781	1.000	0.39690	1.000	0.39482	1.000	0.61797	1.000	0.62219	1.000	0.56693	1.000	0.56693	1.000	0.24437	1.000	0.24437	1.000	0.58118	1.000	0.44805	1.000	0.28562	1.000	0.28491	1.000	0.38072	1.000	0.46623	1.000	0.29499	1.000	0.29661	1.000	0.05385	1.000	0.05408	1.000	0.52284	1.000	0.52350	1.000	0.51385	1.000	0.51224	1.000	0.37521	1.000	0.14988	1.000	0.72830	1.000	0.72799	1.000	0.24490	1.000	0.24490	1.000	0.36750	1.000	0.02623	1.000	0.02581	1.000	0.53013	1.000	0.53422	1.000	0.50000	1.000	0.06079	1.000	0.03344	1.000	0.46009	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.27951	1.000	0.28098	1.000	0.25053	1.000	0.24935	1.000	0.50000	1.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	"idleface"
"actionfire02" 	"_" 	0.58750	1.000	0.58346	1.000	0.10989	1.000	0.10893	1.000	0.00000	1.000	0.00000	1.000	1.00000	1.000	0.99252	1.000	0.71738	1.000	0.89315	1.000	0.63783	1.000	0.82301	1.000	0.54393	1.000	0.76000	1.000	0.73126	1.000	0.94592	1.000	0.52882	1.000	0.51546	1.000	0.87068	1.000	0.96755	1.000	0.84768	1.000	0.87798	1.000	0.60020	1.000	0.43236	1.000	0.28065	1.000	0.28474	1.000	0.51170	1.000	0.50480	1.000	0.34355	1.000	0.39058	1.000	0.82000	1.000	0.82000	1.000	0.36500	1.000	0.36500	1.000	0.68000	1.000	0.25273	1.000	0.24863	1.000	0.58319	1.000	0.59541	1.000	0.50189	1.000	0.41570	1.000	0.41442	1.000	0.12839	1.000	0.00000	1.000	0.00000	1.000	0.00024	1.000	0.00024	1.000	0.00000	1.000	0.00000	1.000	0.03329	1.000	0.03450	1.000	0.03076	1.000	0.02980	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	"actionfire02"
"happy1" 	"_" 	1.00000	1.000	1.00000	1.000	0.64650	1.000	0.64650	1.000	0.55195	1.000	0.58906	1.000	0.00000	1.000	0.00000	1.000	0.62750	1.000	0.62750	1.000	0.63783	1.000	0.82301	1.000	0.54393	1.000	0.76000	1.000	0.52000	1.000	0.45488	1.000	0.50000	1.000	0.50000	1.000	0.88000	1.000	0.88000	1.000	0.72550	1.000	0.72550	1.000	0.37700	1.000	0.37700	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.82000	1.000	0.82000	1.000	0.07250	1.000	0.07250	1.000	0.80000	1.000	0.38070	1.000	0.38070	1.000	0.58319	1.000	0.59541	1.000	0.50189	1.000	0.77000	1.000	0.77000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	"happy1"
"happysmall02" 	"_" 	0.42250	1.000	0.41846	1.000	0.25239	1.000	0.25143	1.000	0.00000	1.000	0.00000	1.000	1.00000	1.000	0.99252	1.000	0.71738	1.000	0.89315	1.000	0.63783	1.000	0.82301	1.000	0.54393	1.000	0.76000	1.000	0.73000	1.000	0.45488	1.000	0.50000	1.000	0.50000	1.000	0.88000	1.000	0.88000	1.000	0.78550	1.000	0.78550	1.000	0.37700	1.000	0.37700	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.82000	1.000	0.82000	1.000	0.50000	1.000	0.50000	1.000	0.64250	1.000	0.25273	1.000	0.24863	1.000	0.58319	1.000	0.59541	1.000	0.50189	1.000	0.77000	1.000	0.77000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	"happysmall02"
"happybig" 	"_" 	0.00000	1.000	0.00000	1.000	0.74250	1.000	0.74250	1.000	0.63000	1.000	0.63000	1.000	0.19500	1.000	0.19500	1.000	0.58250	1.000	0.58250	1.000	0.77821	1.000	0.77821	1.000	0.06175	1.000	0.06175	1.000	0.46750	1.000	0.88624	1.000	0.50000	0.000	0.50000	0.000	0.93250	1.000	0.93250	1.000	0.89096	1.000	0.89096	1.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	1.000	0.00000	1.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.85500	1.000	0.85500	1.000	0.59000	1.000	0.59000	1.000	0.50000	0.000	0.90250	1.000	0.90250	1.000	0.43250	1.000	0.00000	0.000	0.00000	0.000	0.12000	1.000	0.12000	1.000	0.09921	1.000	0.09921	1.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	"happybig"
"Neutral" 	"_" 	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.00000	1.000	0.00000	1.000	0.50000	0.000	0.50000	0.000	"Neutral"
"happybig02" 	"_" 	0.82000	1.000	0.81596	1.000	0.10989	1.000	0.10893	1.000	0.00000	1.000	0.00000	1.000	1.00000	1.000	0.99252	1.000	0.71738	1.000	0.89315	1.000	0.63783	1.000	0.82301	1.000	0.54393	1.000	0.76000	1.000	0.79750	1.000	0.90488	1.000	0.50000	1.000	0.50000	1.000	0.94750	1.000	0.94750	1.000	0.93550	1.000	0.93550	1.000	0.37700	1.000	0.37700	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.82000	1.000	0.82000	1.000	0.32000	1.000	0.32000	1.000	0.59750	1.000	0.25273	1.000	0.24863	1.000	0.58319	1.000	0.59541	1.000	0.50189	1.000	0.91250	1.000	0.91250	1.000	0.54500	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	"happybig02"
"happyBig02Upper" 	"_" 	0.82000	1.000	0.81596	1.000	0.10989	1.000	0.10893	1.000	0.00000	1.000	0.00000	1.000	1.00000	1.000	0.99252	1.000	0.71738	1.000	0.89315	1.000	0.63783	1.000	0.82301	1.000	0.54393	1.000	0.76000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.82000	1.000	0.82000	1.000	0.32000	1.000	0.32000	1.000	0.59750	1.000	0.25273	1.000	0.24863	1.000	0.58319	1.000	0.59541	1.000	0.50000	1.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	"happyBig02Upper"
"happybigUpper" 	"_" 	0.00000	1.000	0.00000	1.000	0.74250	1.000	0.74250	1.000	0.63000	1.000	0.63000	1.000	0.19500	1.000	0.19500	1.000	0.58250	1.000	0.58250	1.000	0.77821	1.000	0.77821	1.000	0.43675	1.000	0.43675	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50750	1.000	0.85500	1.000	0.85500	1.000	0.59000	1.000	0.59000	1.000	0.50000	1.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	"happybigUpper"
