"lang" 
{ 
"Language" "English" 
"Tokens" 
{ 
// asw
"asw_SynTekMegacorp"		"SynTek Megacorporation, Inc."
"asw_SynTekPDA"			"SynTek Personal Digital Assistant"
"asw_SynTekAccount"		"User: %s1"
"asw_SynTekSlogan1"		"\"Pushing the boundaries of humanity.\""
"asw_SynTekSlogan2"		"\"Pioneers in Space and Science.\""
"asw_SynTekSlogan3"		"\"Reaching out.\""
"asw_SynTekSlogan4"		"\"We take responsibility.\""
"asw_SynTekSlogan5"		"\"Improving on nature's design.\""
"asw_SynTekScrollLine0"		"Boot ROM signed correctly."
"asw_SynTekScrollLine1"		"Host OS authentication successful."
"asw_SynTekScrollLine1"		"Host OS authentication successful."
"asw_SynTekScrollLine2"		"SynNET connection..."
"asw_SynTekScrollLine3"		"."
"asw_SynTekScrollLine4"		"."
"asw_SynTekScrollLine5"		"established!"
"asw_SynTekScrollLine6"		" "
"asw_SynTekScrollLine7"		"Checking binary code revocations..."
"asw_SynTekScrollLine8"		"Low latency SynTek HQ monitoring process started."
"asw_SynTekScrollLine9"		" "
"asw_SynTekScrollLine10"		"Launching user security module..."
"asw_SynTekScrollLine11"		" "
"asw_SynTekScrollLine12"		"IAF Transponder Detected."
"asw_SynTekScrollLine13"		"Code IAFN6392-SYN class 5 facility emergency signal recognised."
"asw_SynTekScrollLine14"		"Override code accepted."
"asw_SynTekScrollLine15"		" "
"asw_SynTekScrollLine16"		"SynTek Megacorporation Network Terminal granting Guest User rights to"
"asw_SynTekScrollLine17"		"Private David 'Crash' Murphy."
"asw_SynTekScrollLine18"		"Under authority of Interstellar Corporate Communications Act #8726/K23 Subsection 5"
"asw_SynTekScrollLine19"		"concerning use of critical system in class 5 emergency situation."
"asw_SynTekScrollLine20"		" "
"asw_SynTekScrollLine21"		"All actions will be logged and any unnecessary data access will result"
"asw_SynTekScrollLine22"	"in legal action and termination of SynTek consumer privileges."
"asw_SynTekScrollLine23"	" "
"asw_SynTekScrollLine24"	"Enumerating interface menu options for Guest user..."
"asw_SynTekScrollLine25"	"Launching menu system..."
"asw_SynTekScrollLine26"	" "
"asw_SynTekSecurityCam"		"Security Cam"
"asw_SynTekSecurityCam1"	"Security Cam 1"
"asw_SynTekSecurityCam2"	"Security Cam 2"
"asw_SynTekSecurityCam3"	"Security Cam 3"
"asw_SynTekTurret1"		"Turret 1"
"asw_SynTekTurret2"		"Turret 2"
"asw_SynTekTurret3"		"Turret 3"
"asw_turret_text_top_left" "COLONY SECURITY SYSTEM\nRUNNING OVERRIDE CODE ALPHA 5/34\n\nINTERNAL TURRET SYSTEMS CHECK\n0X83 0x32 0x17 0x02 0x82\n0x18 0x53 0x5A 0x70 0x12\n\nTARGET SAFETY CHECK:\nDISABLED"
"asw_turret_text_top_right" "REMOTE SECURITY SYSTEM V264.3C\n\nPROVIDED BY SYNTEK SECURITY, A\nWHOLLY OWNED SUBSIDIARY OF\nSYNTEK MEGACORPORATION, INC.\n\nTRACKING ACTIVE\nFIRING CHAMBER: OK"
"asw_SynTekMail"		"Mail"
"asw_SynTekMailInbox"	"Inbox"
"asw_SynTekMailOutbox"	"Sent"
"asw_SynTekMailFrom"	"From"
"asw_SynTekMailDate"	"Date"
"asw_SynTekMailSubject"	"Subject"
"asw_SynTekMailAccount"	"Mail Account:"
"asw_SynTekNews"		"News"
"asw_SynTekStocks"		"Stocks"
"asw_SynTekAtmospherics"	"Atmospheric Report"
"asw_SynTekAtmosphere"	"Atmosphere"
"asw_SynTekPlantStatus"		"Plant Status"
"asw_SynTekBackButton"		"Back"
"asw_SynTekMoreButton"		"More"
"asw_SynTekDocs"	"Critical Data"
"asw_SynTekDownloadDocs"	"Download Critical Data"
"asw_SynTekDownloadingDocs"	"Downloading Critical Data"
"asw_SynTekDownloadDocsComplete"	"Download Complete"
"asw_SynTekReactorLabel"		"Reactor"
"asw_SynTekHeatExchangerLabel"		"Heat Exchanger"
"asw_SynTekCoolingTowerLabel"		"Cooling Tower"
"asw_SynTekDrivingPistonsLabel"		"Driving Pistons"
"asw_SynTekTemperaturesLabel"		"TEMPERATURES:"
"asw_SynTekPrimaryCoolantLabel"		"Primary Coolant"
"asw_SynTekSecondaryCoolantLabel"		"Secondary Coolant"
"asw_SynTekEmergencyCoolantLabel"		"Emergency Coolant"
"asw_SynTekEnergyBusLabel"		"Energy Transfer Bus Raw Output:"
"asw_SynTekReactorStatusLabel"		"REACTOR"
"asw_SynTekReactorOnlineLabel"		"ONLINE"
"asw_SynTekReactorOfflineLabel"		"OFFLINE"
"asw_SynTekEnergyNameLabel"		"ENERGY OUTPUT"
"asw_SynTekEfficiencyNameLabel"		"OPERATING\nEFFICIENCY"
"asw_stock_symbol" "Symbol"
"asw_stock_name" "Name"
"asw_stock_value" "Value"
"asw_stock_change" "Change"
"asw_stock_volume" "Volume"
"asw_weather_temp" "Temperature:"
"asw_weather_wind" "Wind Speed:"
"asw_weather_pressure" "Air Pressure:"
"asw_weather_humidity" "Relative Humidity:"
"asw_weather_cloud" "Cloud Cover:"
"asw_weather_vis" "Visibility:"
"asw_weather_weather" "Current Weather:"
"asw_weather_temp_r" "%s1 Kelvin"
"asw_weather_wind_r" "%s1 m/s"
"asw_weather_pressure_r" "%s1 hPa"
"asw_weather_humidity_r" "%s1%"
"asw_weather_broken_cloud_r" "Broken clouds at %s1m"
"asw_weather_few_cloud_r" "Few clouds at %s1m"
"asw_weather_vis_r" "%s1 km"
"asw_weather_weather_light" "Light snow"
"asw_weather_weather_moderate" "Moderate snow"
"asw_weather_warning" "WARNING: Employees are cautioned to observe proper procedure for surface work.  Snow Cats are available only to authorized personnel if duties require.  SynTek Megacorporation is not liable for any injury caused due to atmospheric exposure, including but not limited to, hypothermia, asphyxiation and chemical burns."
"asw_SynTekFlagLabel0"		"Out"
"asw_SynTekFlagLabel1"		"Lock"
"asw_SynTekFlagLabel2"		"Dampening"
"asw_SynTekFlagLabel3"		"Turbine Overload"
"asw_SynTekFlagLabel4"		"Turbine Failure"
"asw_SynTekFlagLabel5"		"Heat Ex. Overload"
"asw_SynTekFlagLabel6"		"Heat Exchanger Failure"
"asw_SynTekFlagLabel7"		"Primary Coolant Leak"
"asw_SynTekFlagLabel8"		"Secondary Coolant Leak"
"asw_SynTekFlagLabel9"		"Emergency Coolant Leak"
"asw_SynTekFlagLabel10"		"Subspace Hook-up"
"asw_SynTekFlagLabel11"		"SynTek HQ Link"
"asw_access_pda" "Access PDA"
"asw_MailAccount"		"Mail Account:"
"asw_MailBodyLabel"		"Message:"

// skills
"asw_leadership"    "Leadership"
"asw_vindicator"    "Vindicator Damage"
"asw_incendiarym"     "Incendiary Mines"
"asw_autogunsk"       "Autogun Damage"
"asw_stopping"     "Stopping Power"
"asw_piercingbullets"   "Piercing Bullets"
"asw_healing"           "Healing"
"asw_xenowound"         "Infestation Curing"	//"Xenowound Specialization"
"asw_combatdrugs"       "Combat Drugs"
"asw_hacking"			"Hacking"
"asw_scanner"           "Scanner"
"asw_engineering"       "Engineering"
"asw_accuracy_skill"          "Damage Bonus"
"asw_grenades"          "Explosives Bonus"
"asw_health"            "Health Bonus"
"asw_melee"             "Melee Damage Bonus"
"asw_reloading"      "Reload Speed Bonus"
"asw_agility"           "Speed Bonus"
"asw_points"            "Points"
"asw_unspent_points"    "Skill Points: %s1"
"asw_undo_tooltip"		"Undo"
"asw_undo_tooltip_desc"	"Undo skill points spent this mission"
"asw_points_tooltip" "Unused Skill Points"
"asw_points_tooltip_desc" "Spend skill points to improve marine abilities.\nMarine has %s1 skill points already allocated."
// skill descriptions
"asw_leadership_desc"			"Boosts the damage dealt and damage\nresistance of nearby squad mates."
"asw_vindicator_desc"			"Increases damage dealt by the Vindicator."
"asw_incendiarym_desc"			"Increases the size and duration of the\nnapalm fires released from Incendiary Mines."
"asw_autogunsk_desc"			"Increases damage dealt by the Autogun and Minigun."
"asw_stopping_desc"			"Increase chance of marine shots stunning\nSwarm drones."
"asw_piercingbullets_desc"		"Provides a chance for bullets to pierce\nenemies and continue out the other side."
"asw_healing_desc"			"Increases healing power of healing\nitems and the total amount carried."
"asw_xenowound_desc"			"Allows the medic to heal infested marines,\nreducing the duration of the infestation."
"asw_combatdrugs_desc"			"Boosts effectiveness of adreneline\nwhen used by your squad."
"asw_hacking_desc"			"Reduces time needed to charge wire\npanel actuators and download critical data."
"asw_scanner_desc"			"Increases range and rate of the movement scanner."
"asw_engineering_desc"			"Speeds up welding and Sentry Gun\nsetup for all nearby squad mates."
"asw_accuracy_skill_desc"      		"Increases the damage dealt by most\nstandard weapons."
"asw_grenades_desc"			"Increases the effectiveness of all\nexplosive weapons."
"asw_health_desc"			"Increases the total health of the marine."
