$keys right_LipsV left_LipsV right_LipLoV left_LipLoV JawV right_LipUpV left_LipUpV right_Platysmus left_Platysmus right_PuckerLipUp left_PuckerLipUp right_PuckerLipLo left_PuckerLipLo right_CloseLid left_CloseLid multi_CloseLid right_InnerSquint left_InnerSquint right_OuterSquint left_OuterSquint right_BrowInV left_BrowInV right_BrowOutV left_BrowOutV right_NoseV left_NoseV right_CheekV left_CheekV right_CheekH left_CheekH JawD JawH right_Smile left_Smile multi_Smile right_FoldLipUp left_FoldLipUp right_Dimple left_Dimple right_Frown left_Frown right_NostrilFlare left_NostrilFlare eyes_updown eyes_rightleft right_ScalpD left_ScalpD right_LipCnrTwst left_LipCnrTwst right_PuffLipUp left_PuffLipUp right_FoldLipLo left_FoldLipLo right_PuffLipLo left_PuffLipLo right_LipStick left_LipStick 
$hasweighting
$normalized
"silence" 	"_" 	0.52750	1.000	0.52750	1.000	0.42600	1.000	0.42600	1.000	0.54400	1.000	0.48500	1.000	0.48500	1.000	0.03750	1.000	0.03750	1.000	0.21000	1.000	0.21000	1.000	0.21000	1.000	0.21000	1.000	0.46552	1.000	0.46552	1.000	0.43500	1.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.000	0.000	"silence"
"happySmall" 	"_" 	0.72336	1.000	0.72336	1.000	0.46911	1.000	0.46911	1.000	0.56886	1.000	0.58223	1.000	0.58223	1.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	1.000	0.00000	1.000	0.24893	1.000	0.24893	1.000	0.35000	1.000	0.22125	1.000	0.22125	1.000	0.23202	1.000	0.23202	1.000	0.74955	1.000	0.74955	1.000	0.17005	1.000	0.17005	1.000	0.63350	1.000	0.63350	1.000	0.65917	1.000	0.65917	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.51570	1.000	0.51570	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00750	1.000	0.00750	1.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.000	0.000	0.000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.000	0.000	"happySmall"
"madUpper" 	"_" 	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	1.000	0.00000	1.000	0.27000	1.000	0.21750	1.000	0.21529	1.000	0.21094	1.000	0.20632	1.000	0.47319	1.000	0.49154	1.000	0.00057	1.000	0.00055	1.000	0.96946	1.000	0.99396	1.000	1.00000	1.000	0.99783	1.000	0.57712	1.000	0.59504	1.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.97290	1.000	0.95462	1.000	0.96739	1.000	0.96608	1.000	0.47672	1.000	0.51622	1.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.000	0.000	"madUpper"
"specialAction01Upper" 	"_" 	0.50000	0.000	0.50000	0.000	0.49997	1.000	0.50000	1.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	1.000	0.00000	1.000	0.00003	1.000	0.00003	1.000	0.00000	0.000	0.00000	0.000	0.09750	1.000	0.09750	1.000	0.23250	1.000	0.00000	1.000	0.00000	1.000	0.00461	1.000	0.00442	1.000	0.46878	1.000	0.49385	1.000	0.00027	1.000	0.00025	1.000	0.96916	1.000	0.99675	1.000	1.00000	1.000	0.97421	1.000	0.55945	1.000	0.56903	1.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	1.000	0.00000	1.000	0.95023	1.000	0.97267	1.000	0.97344	1.000	0.95778	1.000	0.47672	1.000	0.51622	1.000	0.94251	1.000	0.91971	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.000	0.000	"specialAction01Upper"
"defaultFaceUpper" 	"_" 	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	1.000	0.00000	1.000	0.17250	1.000	0.00000	1.000	0.00000	1.000	0.00227	1.000	0.00227	1.000	0.31798	1.000	0.32096	1.000	0.00026	1.000	0.00026	1.000	0.65128	1.000	0.66108	1.000	0.49290	1.000	0.48428	1.000	0.53198	1.000	0.51962	1.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.34349	1.000	0.33578	1.000	0.57551	1.000	0.55708	1.000	0.47672	1.000	0.51622	1.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.000	0.000	"defaultFaceUpper"
"scaredUpper" 	"_" 	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	1.000	0.00000	1.000	0.30000	1.000	0.00000	1.000	0.00000	1.000	0.17296	1.000	0.16981	1.000	0.95342	1.000	0.96621	1.000	0.39753	1.000	0.38106	1.000	0.65635	1.000	0.66250	1.000	0.00035	1.000	0.00035	1.000	0.41006	1.000	0.41088	1.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	1.000	0.00000	1.000	0.32279	1.000	0.31796	1.000	0.47672	1.000	0.51622	1.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.000	0.000	"scaredUpper"
"painBigUpper" 	"_" 	0.40500	1.000	0.50000	1.000	0.50000	1.000	0.48889	1.000	0.50000	1.000	0.38544	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.15789	1.000	0.15789	1.000	0.28500	1.000	0.65446	1.000	0.79000	1.000	0.77500	1.000	0.67977	1.000	0.68955	1.000	0.94143	1.000	0.00000	1.000	0.00000	1.000	0.30660	1.000	0.67750	1.000	0.00000	1.000	0.00000	1.000	0.46213	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.46202	1.000	0.48188	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.42784	1.000	0.83721	1.000	0.30943	1.000	0.63309	1.000	0.47672	1.000	0.51622	1.000	0.46868	1.000	0.49153	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.48812	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	"painBigUpper"
"painSmallUpper" 	"_" 	0.49970	1.000	0.50000	1.000	0.46510	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.49138	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.28889	1.000	0.28889	1.000	0.33750	1.000	0.13884	1.000	0.13879	1.000	0.66848	1.000	0.66838	1.000	0.48042	1.000	0.48044	1.000	0.45892	1.000	0.45919	1.000	0.47324	1.000	0.74469	1.000	0.39664	1.000	0.49380	1.000	0.47874	1.000	0.49658	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.48926	1.000	0.49696	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.59987	1.000	0.60006	1.000	0.28945	1.000	0.64694	1.000	0.47672	1.000	0.51622	1.000	0.50005	1.000	0.50011	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.49794	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	"painSmallUpper"
"happyBigUpper" 	"_" 	0.50000	1.000	0.45322	1.000	0.46318	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.48221	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.32308	1.000	0.32308	1.000	0.48750	1.000	0.26250	1.000	0.25210	1.000	0.26870	1.000	0.27750	1.000	0.95148	1.000	0.97317	1.000	0.75334	1.000	0.73527	1.000	0.78917	1.000	0.80092	1.000	0.89647	1.000	0.90687	1.000	0.54188	1.000	0.56440	1.000	0.50000	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50571	1.000	0.50000	1.000	0.47782	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.46663	1.000	0.52410	1.000	0.47672	1.000	0.51622	1.000	0.49924	1.000	0.47565	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.49137	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.000	0.000	0.000	0.000	"happyBigUpper"
"happySmallUpper" 	"_" 	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	1.000	0.00000	1.000	0.35393	1.000	0.35393	1.000	0.35000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.00000	1.000	0.74955	1.000	0.74955	1.000	0.17005	1.000	0.17005	1.000	0.63350	1.000	0.63350	1.000	0.65917	1.000	0.65917	1.000	0.54459	1.000	0.54459	1.000	0.52919	1.000	0.50000	1.000	0.00000	1.000	0.00000	1.000	0.50000	1.000	0.50000	1.000	0.50000	1.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.47672	1.000	0.51622	1.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.00000	0.000	0.50000	0.000	0.50000	0.000	0.00000	0.000	0.00000	0.000	0.000	0.000	0.000	0.000	"happySmallUpper"
